POI_ID,Observacion,Tipo_error
1137706795,agua,Error tipo 3
1135000561,vias,Error tipo 3
1262969875,vias,Error tipo 3
1105334318,vias,Error tipo 3
1105334315,vias,Error tipo 3
1244538019,vias,Error tipo 3
1105334309,vias,Error tipo 3
1223179611,vias,Error tipo 3
1223179622,vias,Error tipo 3
1223179618,vias,Error tipo 3
1220447147,vias,Error tipo 3
1220447130,vias,Error tipo 3
1220447132,vias,Error tipo 3
1105320672,vias,Error tipo 3
1222691496,vias,Error tipo 3
1222653347,vias,Error tipo 3
1222653368,vias,Error tipo 3
1222653374,vias,Error tipo 3
1222691524,vias,Error tipo 3
